objectid,age,gender
6130bd364a00cdf42425aa1a,89.0,-1.0
6130743b627bfbae31cd25a7,66.0,-1.0
6116266a31ee975e584d343c,21.0,1.0
6130c1ba4a00cdf42425fc3a,55.0,-1.0
611626da31ee975e584d3cd1,80.0,1.0
6130c2034a00cdf424260148,28.0,-1.0
613feb6abba4618becad93e3,59.25656660412758,-1.0
6130bee64a00cdf42425c8a1,65.0,1.0
6116282331ee975e584d5594,72.0,1.0
613feb3fbba4618becad9234,76.0,1.0
6130733a627bfbae31cd1271,47.0,-1.0
613072a7627bfbae31cd0738,80.0,-1.0
61307394627bfbae31cd1921,59.0,1.0
6194daa0609d25628d41e4bb,89.0,1.0
6130bdf24a00cdf42425b768,72.0,1.0
6130c0a84a00cdf42425e870,70.0,-1.0
6194d63f609d25628d41c42f,51.0,-1.0
6130c29f4a00cdf424260cae,16.0,1.0
611625a031ee975e584d254f,79.0,-1.0
6130bd8f4a00cdf42425b075,64.0,-1.0
6116258931ee975e584d2396,72.0,1.0
611626b331ee975e584d399f,69.0,-1.0
613fee0ebba4618becadae8e,24.0,1.0
6116254d31ee975e584d1f1d,75.0,1.0
6130742a627bfbae31cd2453,59.25656660412758,-1.0
6130c34d4a00cdf424261882,8.0,1.0
6116255231ee975e584d1f7c,55.0,-1.0
6194d87f609d25628d41d4e9,48.0,1.0
6194d69f609d25628d41c6fa,61.0,1.0
6194da01609d25628d41e01f,68.0,1.0
6130bdd74a00cdf42425b583,63.0,1.0
6130c3b74a00cdf424262033,86.0,1.0
6116271131ee975e584d4105,18.0,-1.0
6194d80b609d25628d41d18a,62.0,1.0
613fee61bba4618becadb1c5,55.0,1.0
6194d9e1609d25628d41df2e,62.0,-1.0
6130beb54a00cdf42425c500,80.0,1.0
6116253631ee975e584d1d6e,47.0,1.0
6130bded4a00cdf42425b70c,47.0,-1.0
6116298331ee975e584d70bf,67.0,1.0
611628bb31ee975e584d613f,59.0,-1.0
611628aa31ee975e584d600c,46.0,1.0
613072f3627bfbae31cd0cf6,33.0,-1.0
6194d8d9609d25628d41d789,76.0,1.0
6194d820609d25628d41d225,45.0,1.0
6130746d627bfbae31cd2988,70.0,1.0
6116298031ee975e584d708e,65.0,1.0
611626b331ee975e584d399d,69.0,1.0
613febc7bba4618becad977f,34.0,-1.0
611628f731ee975e584d65dc,67.0,-1.0
6130c2604a00cdf42426082b,43.0,-1.0
6130bfb64a00cdf42425d78b,66.0,-1.0
611628f631ee975e584d65cc,76.0,1.0
61307341627bfbae31cd12ec,71.0,1.0
61307312627bfbae31cd0f54,36.0,1.0
6194d85f609d25628d41d3fb,66.0,-1.0
6130c1414a00cdf42425f37e,76.0,1.0
613072d8627bfbae31cd0afa,37.0,-1.0
6194d978609d25628d41dc25,23.0,1.0
613fed31bba4618becada5a0,67.0,-1.0
6194d7ce609d25628d41cfbf,70.0,-1.0
613fee54bba4618becadb140,72.0,1.0
6194d80a609d25628d41d17c,68.0,1.0
613fecf2bba4618becada335,84.0,1.0
611626ac31ee975e584d3905,44.0,-1.0
6116288031ee975e584d5ccb,26.0,1.0
6130c0ec4a00cdf42425ed65,78.0,1.0
6130be5c4a00cdf42425beb6,76.0,1.0
6116262831ee975e584d2f5e,81.0,-1.0
6130c39d4a00cdf424261e4f,80.0,1.0
613fee6dbba4618becadb241,29.0,-1.0
611628ed31ee975e584d6521,73.0,1.0
6130c2614a00cdf424260845,26.0,1.0
6130bd2c4a00cdf42425a962,79.0,-1.0
613fee3ebba4618becadb069,48.0,1.0
6130c0c74a00cdf42425eaaf,49.0,1.0
6116284031ee975e584d57a7,31.0,1.0
6130c0014a00cdf42425dcf1,16.0,-1.0
6194d71b609d25628d41ca9a,56.0,1.0
6116272b31ee975e584d42ef,65.0,1.0
611627e631ee975e584d511d,66.0,1.0
613fecfcbba4618becada393,61.0,1.0
6130c20d4a00cdf424260202,61.0,-1.0
613072b3627bfbae31cd0826,62.0,1.0
6130748a627bfbae31cd2bbe,60.0,1.0
6130c2dd4a00cdf4242610b5,16.0,1.0
6116287a31ee975e584d5c44,48.0,-1.0
613fecb4bba4618becada0ba,51.0,1.0
6130746f627bfbae31cd29a6,65.0,1.0
6130bf0c4a00cdf42425cb6e,80.0,1.0
6194dabb609d25628d41e586,67.0,-1.0
6130c1284a00cdf42425f1bf,72.0,-1.0
6130be344a00cdf42425bc10,44.0,1.0
6130bed64a00cdf42425c776,83.0,1.0
6130be364a00cdf42425bc36,38.0,1.0
6194d70f609d25628d41ca3c,57.0,1.0
6130742b627bfbae31cd2458,37.0,1.0
61307480627bfbae31cd2af6,83.0,1.0
6130c4534a00cdf424262c26,63.0,1.0
6194da2b609d25628d41e15c,35.0,1.0
6130c1b44a00cdf42425fbb9,71.0,1.0
613073ee627bfbae31cd1fc0,65.0,1.0
6130bece4a00cdf42425c6e5,68.0,-1.0
6130c2d04a00cdf424260fef,76.0,1.0
6116267831ee975e584d352f,71.0,-1.0
611626da31ee975e584d3cd3,85.0,1.0
6130749d627bfbae31cd2d3e,43.0,-1.0
6130c2cb4a00cdf424260fa3,78.0,-1.0
6130be7c4a00cdf42425c0f5,64.0,-1.0
6130c1d84a00cdf42425fe49,78.0,1.0
6194d85c609d25628d41d3e0,43.0,1.0
6130be2e4a00cdf42425bb9c,84.0,1.0
61307325627bfbae31cd10c4,56.0,1.0
6116265b31ee975e584d3322,18.0,-1.0
6194d763609d25628d41ccac,42.0,1.0
6130be6e4a00cdf42425bffb,64.0,-1.0
6130c2c24a00cdf424260f01,79.0,1.0
6116258531ee975e584d2346,55.0,-1.0
6116293431ee975e584d6aa7,72.0,-1.0
6116278431ee975e584d49b5,18.0,1.0
6116297e31ee975e584d7065,68.0,1.0
613fee02bba4618becadae17,82.0,1.0
61307300627bfbae31cd0dea,68.0,-1.0
6130bd734a00cdf42425ae72,35.0,1.0
6130c09e4a00cdf42425e7c3,81.0,1.0
6194da94609d25628d41e462,60.0,1.0
6116277a31ee975e584d48f6,61.0,1.0
6116297931ee975e584d7006,63.0,1.0
6116290b31ee975e584d675d,57.0,1.0
6130bdea4a00cdf42425b6cd,69.0,-1.0
6130c43b4a00cdf424262a72,71.0,-1.0
6116283e31ee975e584d578d,69.0,-1.0
6130bec04a00cdf42425c5e4,82.0,1.0
6130c22d4a00cdf424260474,59.0,1.0
6130be4b4a00cdf42425bd9f,73.0,1.0
6116268a31ee975e584d366f,38.0,-1.0
6130c1684a00cdf42425f649,78.0,-1.0
613feb8cbba4618becad9537,71.0,1.0
6130c23a4a00cdf424260556,84.0,-1.0
6130c2af4a00cdf424260dce,81.0,1.0
613fed7dbba4618becada8a6,67.0,1.0
6116291131ee975e584d67d6,48.0,-1.0
6116272431ee975e584d4272,51.0,1.0
6116281631ee975e584d5495,38.0,1.0
6130c4094a00cdf4242626c2,55.0,-1.0
6116276331ee975e584d472f,87.0,-1.0
6130743e627bfbae31cd25e2,53.0,-1.0
6130c2084a00cdf4242601a0,70.0,-1.0
6130c1874a00cdf42425f86e,71.0,1.0
611625a931ee975e584d25f8,55.0,-1.0
613072b4627bfbae31cd0831,31.0,-1.0
6130c0274a00cdf42425dfa4,76.0,1.0
6116286331ee975e584d5a5d,59.25656660412758,1.0
6194d998609d25628d41dd11,66.0,1.0
6194d94e609d25628d41dae6,63.0,1.0
613073ec627bfbae31cd1f9f,66.0,1.0
6130c2904a00cdf424260b8f,29.0,-1.0
6130746e627bfbae31cd299a,73.0,-1.0
6130bdd14a00cdf42425b52e,46.0,-1.0
613074b3627bfbae31cd2ef2,46.0,1.0
6130c0864a00cdf42425e623,64.0,1.0
6116294131ee975e584d6bb8,58.0,-1.0
6130bf434a00cdf42425cf49,62.0,-1.0
613feab5bba4618becad8cfe,11.0,1.0
6130c3334a00cdf4242616ad,46.0,-1.0
6116274f31ee975e584d4599,50.0,1.0
6116290931ee975e584d672b,47.0,-1.0
611626d131ee975e584d3c19,50.0,-1.0
6130c4204a00cdf42426287f,56.0,1.0
6130c2fb4a00cdf4242612b4,55.0,-1.0
613fee1fbba4618becadaf3c,62.0,1.0
613073d9627bfbae31cd1e3e,82.0,1.0
6194da54609d25628d41e285,70.0,1.0
613fee36bba4618becadb019,68.0,-1.0
6194d5e8609d25628d41c1a0,53.0,-1.0
6116277d31ee975e584d4923,70.0,-1.0
611627dd31ee975e584d506b,61.0,1.0
6130bee04a00cdf42425c83e,58.0,-1.0
613074b9627bfbae31cd2f64,89.0,-1.0
611625c131ee975e584d27b3,88.0,1.0
613fecd3bba4618becada1f3,57.0,1.0
6194d5e0609d25628d41c163,53.0,1.0
6130bd744a00cdf42425ae7e,47.0,1.0
6194d6ad609d25628d41c761,66.0,1.0
6130c2874a00cdf424260af3,27.0,1.0
6116261b31ee975e584d2e64,22.0,-1.0
6130c0e24a00cdf42425ecba,77.0,-1.0
6116255e31ee975e584d205f,77.0,-1.0
613073d0627bfbae31cd1d8a,68.0,1.0
6130bf804a00cdf42425d3a8,43.0,-1.0
6130befb4a00cdf42425ca2d,58.0,1.0
613073b6627bfbae31cd1baa,63.0,-1.0
61307419627bfbae31cd22fb,44.0,-1.0
611626bb31ee975e584d3a48,71.0,-1.0
6194da87609d25628d41e400,51.0,-1.0
6130c0e94a00cdf42425ed31,62.0,1.0
6194d723609d25628d41cad6,57.0,1.0
6130bf894a00cdf42425d446,59.25656660412758,-1.0
6116281731ee975e584d54b0,86.0,-1.0
6194d915609d25628d41d948,51.0,1.0
61307459627bfbae31cd27f2,41.0,-1.0
6130c2134a00cdf42426026d,86.0,-1.0
6194d73c609d25628d41cb8e,40.0,-1.0
6130bff64a00cdf42425dc32,59.0,-1.0
6130be734a00cdf42425c04d,48.0,1.0
6130c2b04a00cdf424260ddb,70.0,1.0
61307366627bfbae31cd15bd,75.0,1.0
613fee3dbba4618becadb05e,86.0,1.0
611626e631ee975e584d3dc7,77.0,-1.0
6194d588609d25628d41bee4,66.0,-1.0
6130c0ca4a00cdf42425eae5,66.0,-1.0
6130c0ba4a00cdf42425e9b8,47.0,1.0
6130c2704a00cdf42426094c,70.0,1.0
6130bd9f4a00cdf42425b193,26.0,-1.0
6130be124a00cdf42425b9d7,72.0,1.0
6130c27b4a00cdf424260a12,54.0,1.0
6194d5b2609d25628d41c010,71.0,1.0
611625a131ee975e584d2563,64.0,1.0
6130c2fb4a00cdf4242612a9,86.0,1.0
6130c2bf4a00cdf424260ec5,74.0,1.0
6130bff94a00cdf42425dc63,80.0,1.0
6116278931ee975e584d4a1b,28.0,1.0
6130bf764a00cdf42425d2ef,53.0,-1.0
6130743d627bfbae31cd25c8,72.0,-1.0
6130c1864a00cdf42425f861,48.0,1.0
6130c1f24a00cdf42426001b,75.0,1.0
6130bf454a00cdf42425cf70,79.0,-1.0
613feae9bba4618becad8ef6,73.0,-1.0
6116272931ee975e584d42c4,64.0,-1.0
6130c3144a00cdf424261470,6.0,1.0
613fedddbba4618becadac93,62.0,-1.0
6130c2624a00cdf424260858,84.0,1.0
6130c0ee4a00cdf42425ed94,70.0,-1.0
611625a431ee975e584d2593,29.0,1.0
6130c3174a00cdf4242614ab,25.0,1.0
611628c931ee975e584d625c,62.0,-1.0
6116260531ee975e584d2cbc,57.0,1.0
6116289731ee975e584d5e95,79.0,-1.0
6130bd464a00cdf42425ab48,4.0,-1.0
613feb41bba4618becad9247,49.0,-1.0
6194d6b5609d25628d41c79c,53.0,1.0
611627b731ee975e584d4da5,52.0,1.0
613073fb627bfbae31cd20b1,63.0,1.0
611628fa31ee975e584d6623,75.0,-1.0
6116268b31ee975e584d3687,45.0,1.0
6194d93e609d25628d41da73,59.0,1.0
6116257431ee975e584d220b,18.0,-1.0
6130c0824a00cdf42425e5df,53.0,1.0
613072ac627bfbae31cd079f,56.0,-1.0
613feb48bba4618becad9291,55.0,1.0
6116290c31ee975e584d6767,70.0,-1.0
6194d6a1609d25628d41c70a,65.0,1.0
6130c0714a00cdf42425e4b2,50.0,1.0
613fee44bba4618becadb0a8,32.0,1.0
6130c4774a00cdf424262eed,39.0,-1.0
6130bff44a00cdf42425dc0c,80.0,-1.0
6130bd394a00cdf42425aa5f,38.0,1.0
6130c0934a00cdf42425e6f9,52.0,-1.0
6116260431ee975e584d2c9d,21.0,-1.0
613feba7bba4618becad963b,85.0,-1.0
6130bf174a00cdf42425cc30,64.0,-1.0
6130c3404a00cdf42426179a,48.0,1.0
6130bdd04a00cdf42425b511,50.0,1.0
6116293f31ee975e584d6b91,68.0,1.0
611625fa31ee975e584d2be3,73.0,1.0
613fec62bba4618becad9d96,14.0,1.0
6116296031ee975e584d6e37,32.0,-1.0
611626d231ee975e584d3c24,59.0,1.0
6130c0bc4a00cdf42425e9dc,64.0,1.0
611627e531ee975e584d5101,75.0,1.0
6130731f627bfbae31cd104d,52.0,1.0
6194d7d1609d25628d41cfd4,65.0,-1.0
613feca6bba4618becada031,27.0,-1.0
6130c3244a00cdf424261598,61.0,1.0
613feca1bba4618becad9ffc,67.0,-1.0
6130be1c4a00cdf42425ba74,53.0,-1.0
6130743f627bfbae31cd25f7,68.0,-1.0
6130c4274a00cdf4242628f9,85.0,-1.0
6130c24e4a00cdf4242606ce,59.0,1.0
6130c25a4a00cdf4242607ae,67.0,1.0
6116289231ee975e584d5e32,29.0,1.0
611628d531ee975e584d6353,56.0,1.0
611627ff31ee975e584d52f2,46.0,1.0
6130bf5f4a00cdf42425d145,57.0,1.0
6130bea54a00cdf42425c3f1,54.0,1.0
6130bdff4a00cdf42425b86d,85.0,1.0
6130c4874a00cdf424263019,72.0,-1.0
611626a131ee975e584d3837,68.0,1.0
6130c0204a00cdf42425df24,0.0,-1.0
6130c2c34a00cdf424260f14,29.0,-1.0
613fed8fbba4618becada967,70.0,1.0
6194d9aa609d25628d41dd95,51.0,1.0
6130bf1f4a00cdf42425ccbe,57.0,-1.0
6130bf4e4a00cdf42425d01a,75.0,1.0
613fead9bba4618becad8e53,75.0,1.0
6130c1d04a00cdf42425fdbe,81.0,1.0
613fedc1bba4618becadab6e,44.0,-1.0
611625eb31ee975e584d2ac4,72.0,1.0
6116296e31ee975e584d6f40,41.0,-1.0
613fee5cbba4618becadb196,73.0,1.0
613073b1627bfbae31cd1b56,60.0,1.0
611628d531ee975e584d6352,83.0,-1.0
613fed7cbba4618becada89d,53.0,-1.0
6116268e31ee975e584d36be,51.0,-1.0
6116269331ee975e584d3731,86.0,-1.0
611628d631ee975e584d6366,45.0,1.0
613febeabba4618becad98f9,64.0,-1.0
6194da61609d25628d41e2e6,64.0,-1.0
613fedd5bba4618becadac48,71.0,1.0
613072c9627bfbae31cd09dd,42.0,1.0
6130c37d4a00cdf424261bf8,59.0,1.0
611625ef31ee975e584d2b07,45.0,1.0
613fed34bba4618becada5b4,30.0,1.0
6130bd2e4a00cdf42425a981,53.0,1.0
61307498627bfbae31cd2cd2,42.0,-1.0
6130c2f14a00cdf424261203,57.0,-1.0
6116285231ee975e584d5917,41.0,1.0
6130c36e4a00cdf424261ae0,60.0,1.0
6130c2a74a00cdf424260d36,22.0,1.0
6130bd304a00cdf42425a9ac,69.0,-1.0
6130c1064a00cdf42425ef57,89.0,-1.0
6130bdce4a00cdf42425b4ee,63.0,-1.0
6130bf624a00cdf42425d178,50.0,1.0
6130c39e4a00cdf424261e66,64.0,1.0
6130be4b4a00cdf42425bd99,51.0,-1.0
6130bd234a00cdf42425a8b3,49.0,1.0
613073f6627bfbae31cd2054,66.0,-1.0
6194d908609d25628d41d8e4,62.0,1.0
613feb32bba4618becad91c0,65.0,1.0
6116281a31ee975e584d54e8,83.0,-1.0
6116254f31ee975e584d1f48,77.0,-1.0
6130bfcd4a00cdf42425d951,70.0,-1.0
6116291f31ee975e584d68f8,63.0,1.0
6130c1854a00cdf42425f845,66.0,-1.0
6116255131ee975e584d1f65,24.0,-1.0
6130bf584a00cdf42425d0ce,16.0,1.0
613073ec627bfbae31cd1fa7,77.0,-1.0
6130733c627bfbae31cd128f,78.0,-1.0
613fee38bba4618becadb02c,78.0,-1.0
6130c3204a00cdf424261545,44.0,-1.0
611627ac31ee975e584d4cc7,79.0,-1.0
61307464627bfbae31cd28cf,76.0,1.0
6130bf044a00cdf42425cadb,36.0,1.0
6130c4744a00cdf424262eb8,16.0,-1.0
