훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [459/858], 손실: 0.1098
Batch [460/858], 손실: 0.1372
Batch [461/858], 손실: 0.1294
Batch [462/858], 손실: 0.1343
Batch [463/858], 손실: 0.1192
Batch [464/858], 손실: 0.1215
Batch [465/858], 손실: 0.1312
Batch [466/858], 손실: 0.1212
Batch [467/858], 손실: 0.1194
Batch [468/858], 손실: 0.1181
Batch [469/858], 손실: 0.1244
Batch [470/858], 손실: 0.1042
Batch [471/858], 손실: 0.0984
Batch [472/858], 손실: 0.1056
Batch [473/858], 손실: 0.1101
Batch [474/858], 손실: 0.1340
Batch [475/858], 손실: 0.1261
Batch [476/858], 손실: 0.1116
Batch [477/858], 손실: 0.1227
Batch [478/858], 손실: 0.0981
Batch [479/858], 손실: 0.1018
Batch [480/858], 손실: 0.1362
Batch [481/858], 손실: 0.0986
Batch [482/858], 손실: 0.1094
Batch [483/858], 손실: 0.1404
Batch [484/858], 손실: 0.1130
Batch [485/858], 손실: 0.1146
Batch [486/858], 손실: 0.0960
Batch [487/858], 손실: 0.1143
Batch [488/858], 손실: 0.1236
Batch [489/858], 손실: 0.1318
Batch [490/858], 손실: 0.1283
Batch [491/858], 손실: 0.0813
Batch [492/858], 손실: 0.1188
Batch [493/858], 손실: 0.0979
Batch [494/858], 손실: 0.1042
Batch [495/858], 손실: 0.1190
Batch [496/858], 손실: 0.0963
Batch [497/858], 손실: 0.1092
Batch [498/858], 손실: 0.1153
Batch [499/858], 손실: 0.1297
Batch [500/858], 손실: 0.0970
Batch [501/858], 손실: 0.1115
Batch [502/858], 손실: 0.0989
Batch [503/858], 손실: 0.1209
Batch [504/858], 손실: 0.1187
Batch [505/858], 손실: 0.1306
Batch [506/858], 손실: 0.1246
Batch [507/858], 손실: 0.1199
Batch [508/858], 손실: 0.1437
Batch [509/858], 손실: 0.1156
Batch [510/858], 손실: 0.1177
Batch [511/858], 손실: 0.1235
Batch [512/858], 손실: 0.1175
Batch [513/858], 손실: 0.1295
Batch [514/858], 손실: 0.1098
Batch [515/858], 손실: 0.1230
Batch [516/858], 손실: 0.1230
Batch [517/858], 손실: 0.1151
Batch [518/858], 손실: 0.1050
Batch [519/858], 손실: 0.1327
Batch [520/858], 손실: 0.1062
Batch [521/858], 손실: 0.1213
Batch [522/858], 손실: 0.1021
Batch [523/858], 손실: 0.1190
Batch [524/858], 손실: 0.1134
Batch [525/858], 손실: 0.1175
Batch [526/858], 손실: 0.1078
Batch [527/858], 손실: 0.1260
Batch [528/858], 손실: 0.1133
Batch [529/858], 손실: 0.1370
Batch [530/858], 손실: 0.1146
Batch [531/858], 손실: 0.1180
Batch [532/858], 손실: 0.1051
Batch [533/858], 손실: 0.1346
Batch [534/858], 손실: 0.1286
Batch [535/858], 손실: 0.0947
Batch [536/858], 손실: 0.1005
Batch [537/858], 손실: 0.1389
Batch [538/858], 손실: 0.1255
Batch [539/858], 손실: 0.1110
Batch [540/858], 손실: 0.1210
Batch [541/858], 손실: 0.1298
Batch [542/858], 손실: 0.1056
Batch [543/858], 손실: 0.1216
Batch [544/858], 손실: 0.1081
Batch [545/858], 손실: 0.1512
Batch [546/858], 손실: 0.1258
Batch [547/858], 손실: 0.1160
Batch [548/858], 손실: 0.1222
Batch [549/858], 손실: 0.1219
Batch [550/858], 손실: 0.0992
Batch [551/858], 손실: 0.1019
Batch [552/858], 손실: 0.1218
Batch [553/858], 손실: 0.0861
Batch [554/858], 손실: 0.1025
Batch [555/858], 손실: 0.1092
Batch [556/858], 손실: 0.1160
Batch [557/858], 손실: 0.0923
Batch [558/858], 손실: 0.1154
Batch [559/858], 손실: 0.0956
Batch [560/858], 손실: 0.1137
Batch [561/858], 손실: 0.0943
Batch [562/858], 손실: 0.0930
Batch [563/858], 손실: 0.1224
Batch [564/858], 손실: 0.1098
Batch [565/858], 손실: 0.1168
Batch [566/858], 손실: 0.1107
Batch [567/858], 손실: 0.1167
Batch [568/858], 손실: 0.1235
Batch [569/858], 손실: 0.1196
Batch [570/858], 손실: 0.1101
Batch [571/858], 손실: 0.1258
Batch [572/858], 손실: 0.1122
Batch [573/858], 손실: 0.1145
Batch [574/858], 손실: 0.0939
Batch [575/858], 손실: 0.1182
Batch [576/858], 손실: 0.1136
Batch [577/858], 손실: 0.1588
Batch [578/858], 손실: 0.1001
Batch [579/858], 손실: 0.1210
Batch [580/858], 손실: 0.1146
Batch [581/858], 손실: 0.1146
Batch [582/858], 손실: 0.1319
Batch [583/858], 손실: 0.1209
Batch [584/858], 손실: 0.1233
Batch [585/858], 손실: 0.1302
Batch [586/858], 손실: 0.1016
Batch [587/858], 손실: 0.1187
Batch [588/858], 손실: 0.1360
Batch [589/858], 손실: 0.1085
Batch [590/858], 손실: 0.1183
Batch [591/858], 손실: 0.1067
Batch [592/858], 손실: 0.1146
Batch [593/858], 손실: 0.1144
Batch [594/858], 손실: 0.1202
Batch [595/858], 손실: 0.1129
Batch [596/858], 손실: 0.1298
Batch [597/858], 손실: 0.1143
Batch [598/858], 손실: 0.1002
Batch [599/858], 손실: 0.1251
Batch [600/858], 손실: 0.1112
Batch [601/858], 손실: 0.0834
Batch [602/858], 손실: 0.1192
Batch [603/858], 손실: 0.1067
Batch [604/858], 손실: 0.1272
Batch [605/858], 손실: 0.0915
Batch [606/858], 손실: 0.1327
Batch [607/858], 손실: 0.1199
Batch [608/858], 손실: 0.1088
Batch [609/858], 손실: 0.1047
Batch [610/858], 손실: 0.1193
Batch [611/858], 손실: 0.1082
Batch [612/858], 손실: 0.1017
Batch [613/858], 손실: 0.1276
Batch [614/858], 손실: 0.1164
Batch [615/858], 손실: 0.1066
Batch [616/858], 손실: 0.1041
Batch [617/858], 손실: 0.1166
Batch [618/858], 손실: 0.1231
Batch [619/858], 손실: 0.1438
Batch [620/858], 손실: 0.1191
Batch [621/858], 손실: 0.1230
Batch [622/858], 손실: 0.1002
Batch [623/858], 손실: 0.1006
Batch [624/858], 손실: 0.1181
Batch [625/858], 손실: 0.0982
Batch [626/858], 손실: 0.1398
Batch [627/858], 손실: 0.1066
Batch [628/858], 손실: 0.1082
Batch [629/858], 손실: 0.1180
Batch [630/858], 손실: 0.1202
Batch [631/858], 손실: 0.1126
Batch [632/858], 손실: 0.1002
Batch [633/858], 손실: 0.1188
Batch [634/858], 손실: 0.1154
Batch [635/858], 손실: 0.1111
Batch [636/858], 손실: 0.0924
Batch [637/858], 손실: 0.1207
Batch [638/858], 손실: 0.0807
Batch [639/858], 손실: 0.1293
Batch [640/858], 손실: 0.1061
Batch [641/858], 손실: 0.0964
Batch [642/858], 손실: 0.1272
Batch [643/858], 손실: 0.1341
Batch [644/858], 손실: 0.1185
Batch [645/858], 손실: 0.0934
Batch [646/858], 손실: 0.1247
Batch [647/858], 손실: 0.1138
Batch [648/858], 손실: 0.1167
Batch [649/858], 손실: 0.1331
Batch [650/858], 손실: 0.1240
Batch [651/858], 손실: 0.1169
Batch [652/858], 손실: 0.1112
Batch [653/858], 손실: 0.1161
Batch [654/858], 손실: 0.1234
Batch [655/858], 손실: 0.1044
Batch [656/858], 손실: 0.1159
Batch [657/858], 손실: 0.1135
Batch [658/858], 손실: 0.1103
Batch [659/858], 손실: 0.1112
Batch [660/858], 손실: 0.1115
Batch [661/858], 손실: 0.1038
Batch [662/858], 손실: 0.0957
Batch [663/858], 손실: 0.1105
Batch [664/858], 손실: 0.1135
Batch [665/858], 손실: 0.1152
Batch [666/858], 손실: 0.1189
Batch [667/858], 손실: 0.1000
Batch [668/858], 손실: 0.0960
Batch [669/858], 손실: 0.1246
Batch [670/858], 손실: 0.1227
Batch [671/858], 손실: 0.1485
Batch [672/858], 손실: 0.1042
Batch [673/858], 손실: 0.1086
Batch [674/858], 손실: 0.1178
Batch [675/858], 손실: 0.1124
Batch [676/858], 손실: 0.0936
Batch [677/858], 손실: 0.1128
Batch [678/858], 손실: 0.1042
Batch [679/858], 손실: 0.1211
Batch [680/858], 손실: 0.1037
Batch [681/858], 손실: 0.1086
Batch [682/858], 손실: 0.1380
Batch [683/858], 손실: 0.0954
Batch [684/858], 손실: 0.1280
Batch [685/858], 손실: 0.0936
Batch [686/858], 손실: 0.0914
Batch [687/858], 손실: 0.0906
Batch [688/858], 손실: 0.1225
Batch [689/858], 손실: 0.0896
Batch [690/858], 손실: 0.1000
Batch [691/858], 손실: 0.1371
Batch [692/858], 손실: 0.1168
Batch [693/858], 손실: 0.0979
Batch [694/858], 손실: 0.1143
Batch [695/858], 손실: 0.1074
Batch [696/858], 손실: 0.0983
Batch [697/858], 손실: 0.1058
