훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [319/858], 손실: 0.1438
Batch [320/858], 손실: 0.1462
Batch [321/858], 손실: 0.1158
Batch [322/858], 손실: 0.1216
Batch [323/858], 손실: 0.1312
Batch [324/858], 손실: 0.0856
Batch [325/858], 손실: 0.1281
Batch [326/858], 손실: 0.1172
Batch [327/858], 손실: 0.1253
Batch [328/858], 손실: 0.1355
Batch [329/858], 손실: 0.1399
Batch [330/858], 손실: 0.1352
Batch [331/858], 손실: 0.1537
Batch [332/858], 손실: 0.1239
Batch [333/858], 손실: 0.1234
Batch [334/858], 손실: 0.1426
Batch [335/858], 손실: 0.1289
Batch [336/858], 손실: 0.1260
Batch [337/858], 손실: 0.1289
Batch [338/858], 손실: 0.1010
Batch [339/858], 손실: 0.1344
Batch [340/858], 손실: 0.1342
Batch [341/858], 손실: 0.1228
Batch [342/858], 손실: 0.1063
Batch [343/858], 손실: 0.1229
Batch [344/858], 손실: 0.1423
Batch [345/858], 손실: 0.1354
Batch [346/858], 손실: 0.1364
Batch [347/858], 손실: 0.0992
Batch [348/858], 손실: 0.1492
Batch [349/858], 손실: 0.1178
Batch [350/858], 손실: 0.1168
Batch [351/858], 손실: 0.1398
Batch [352/858], 손실: 0.1212
Batch [353/858], 손실: 0.1017
Batch [354/858], 손실: 0.1195
Batch [355/858], 손실: 0.1081
Batch [356/858], 손실: 0.1479
Batch [357/858], 손실: 0.1194
Batch [358/858], 손실: 0.1207
Batch [359/858], 손실: 0.1378
Batch [360/858], 손실: 0.1398
Batch [361/858], 손실: 0.1147
Batch [362/858], 손실: 0.1333
Batch [363/858], 손실: 0.1376
Batch [364/858], 손실: 0.1171
Batch [365/858], 손실: 0.1242
Batch [366/858], 손실: 0.1299
Batch [367/858], 손실: 0.1209
Batch [368/858], 손실: 0.1507
Batch [369/858], 손실: 0.1334
Batch [370/858], 손실: 0.1363
Batch [371/858], 손실: 0.1007
Batch [372/858], 손실: 0.1278
Batch [373/858], 손실: 0.1150
Batch [374/858], 손실: 0.1430
Batch [375/858], 손실: 0.1380
Batch [376/858], 손실: 0.1314
Batch [377/858], 손실: 0.1300
Batch [378/858], 손실: 0.1494
Batch [379/858], 손실: 0.1138
Batch [380/858], 손실: 0.1330
Batch [381/858], 손실: 0.1417
Batch [382/858], 손실: 0.1279
Batch [383/858], 손실: 0.1378
Batch [384/858], 손실: 0.1159
Batch [385/858], 손실: 0.1297
Batch [386/858], 손실: 0.1303
Batch [387/858], 손실: 0.1086
Batch [388/858], 손실: 0.1312
Batch [389/858], 손실: 0.1310
Batch [390/858], 손실: 0.1051
Batch [391/858], 손실: 0.1741
Batch [392/858], 손실: 0.1298
Batch [393/858], 손실: 0.0992
Batch [394/858], 손실: 0.1088
Batch [395/858], 손실: 0.1477
Batch [396/858], 손실: 0.1276
Batch [397/858], 손실: 0.1165
Batch [398/858], 손실: 0.1314
Batch [399/858], 손실: 0.1441
Batch [400/858], 손실: 0.1355
Batch [401/858], 손실: 0.1341
Batch [402/858], 손실: 0.1103
Batch [403/858], 손실: 0.1190
Batch [404/858], 손실: 0.1199
Batch [405/858], 손실: 0.1244
Batch [406/858], 손실: 0.1098
Batch [407/858], 손실: 0.1151
Batch [408/858], 손실: 0.1252
Batch [409/858], 손실: 0.1202
Batch [410/858], 손실: 0.1684
Batch [411/858], 손실: 0.1436
Batch [412/858], 손실: 0.1125
Batch [413/858], 손실: 0.1261
Batch [414/858], 손실: 0.1448
Batch [415/858], 손실: 0.1324
Batch [416/858], 손실: 0.1093
Batch [417/858], 손실: 0.1270
Batch [418/858], 손실: 0.1224
Batch [419/858], 손실: 0.1079
Batch [420/858], 손실: 0.1295
Batch [421/858], 손실: 0.1236
Batch [422/858], 손실: 0.1109
Batch [423/858], 손실: 0.1240
Batch [424/858], 손실: 0.1165
Batch [425/858], 손실: 0.0968
Batch [426/858], 손실: 0.1331
Batch [427/858], 손실: 0.1198
Batch [428/858], 손실: 0.1194
Batch [429/858], 손실: 0.0995
Batch [430/858], 손실: 0.1026
Batch [431/858], 손실: 0.0970
Batch [432/858], 손실: 0.1255
Batch [433/858], 손실: 0.1123
Batch [434/858], 손실: 0.1423
Batch [435/858], 손실: 0.1423
Batch [436/858], 손실: 0.1319
Batch [437/858], 손실: 0.1242
Batch [438/858], 손실: 0.1519
Batch [439/858], 손실: 0.1128
Batch [440/858], 손실: 0.1215
Batch [441/858], 손실: 0.1102
Batch [442/858], 손실: 0.1241
Batch [443/858], 손실: 0.1109
Batch [444/858], 손실: 0.1211
Batch [445/858], 손실: 0.1081
Batch [446/858], 손실: 0.1367
Batch [447/858], 손실: 0.1069
Batch [448/858], 손실: 0.1093
Batch [449/858], 손실: 0.1184
Batch [450/858], 손실: 0.1357
Batch [451/858], 손실: 0.1321
Batch [452/858], 손실: 0.1446
Batch [453/858], 손실: 0.1186
Batch [454/858], 손실: 0.1394
Batch [455/858], 손실: 0.1226
Batch [456/858], 손실: 0.1125
Batch [457/858], 손실: 0.1239
Batch [458/858], 손실: 0.1376
Batch [459/858], 손실: 0.1161
Batch [460/858], 손실: 0.1042
Batch [461/858], 손실: 0.1254
Batch [462/858], 손실: 0.1268
Batch [463/858], 손실: 0.1234
Batch [464/858], 손실: 0.1084
Batch [465/858], 손실: 0.1428
Batch [466/858], 손실: 0.1149
Batch [467/858], 손실: 0.1094
Batch [468/858], 손실: 0.1129
Batch [469/858], 손실: 0.1377
Batch [470/858], 손실: 0.1117
Batch [471/858], 손실: 0.1237
Batch [472/858], 손실: 0.1199
Batch [473/858], 손실: 0.1118
Batch [474/858], 손실: 0.1160
Batch [475/858], 손실: 0.1140
Batch [476/858], 손실: 0.1161
Batch [477/858], 손실: 0.1062
Batch [478/858], 손실: 0.1167
Batch [479/858], 손실: 0.1119
Batch [480/858], 손실: 0.1196
Batch [481/858], 손실: 0.1105
Batch [482/858], 손실: 0.1307
Batch [483/858], 손실: 0.1367
Batch [484/858], 손실: 0.1091
Batch [485/858], 손실: 0.1255
Batch [486/858], 손실: 0.1266
Batch [487/858], 손실: 0.1195
Batch [488/858], 손실: 0.1475
Batch [489/858], 손실: 0.1315
Batch [490/858], 손실: 0.1378
Batch [491/858], 손실: 0.1217
Batch [492/858], 손실: 0.1066
Batch [493/858], 손실: 0.1264
Batch [494/858], 손실: 0.1211
Batch [495/858], 손실: 0.1124
Batch [496/858], 손실: 0.1225
Batch [497/858], 손실: 0.1341
Batch [498/858], 손실: 0.0987
Batch [499/858], 손실: 0.1279
Batch [500/858], 손실: 0.1084
Batch [501/858], 손실: 0.1210
Batch [502/858], 손실: 0.1103
Batch [503/858], 손실: 0.1064
Batch [504/858], 손실: 0.0986
Batch [505/858], 손실: 0.1171
Batch [506/858], 손실: 0.1294
Batch [507/858], 손실: 0.1319
Batch [508/858], 손실: 0.1061
Batch [509/858], 손실: 0.1039
Batch [510/858], 손실: 0.1110
Batch [511/858], 손실: 0.1176
Batch [512/858], 손실: 0.1044
Batch [513/858], 손실: 0.1193
Batch [514/858], 손실: 0.1051
Batch [515/858], 손실: 0.1117
Batch [516/858], 손실: 0.1159
Batch [517/858], 손실: 0.1176
Batch [518/858], 손실: 0.1233
Batch [519/858], 손실: 0.1139
Batch [520/858], 손실: 0.1008
Batch [521/858], 손실: 0.1274
Batch [522/858], 손실: 0.1037
Batch [523/858], 손실: 0.0994
Batch [524/858], 손실: 0.1375
Batch [525/858], 손실: 0.1007
Batch [526/858], 손실: 0.1253
Batch [527/858], 손실: 0.1207
Batch [528/858], 손실: 0.0996
Batch [529/858], 손실: 0.1155
Batch [530/858], 손실: 0.1138
Batch [531/858], 손실: 0.0928
Batch [532/858], 손실: 0.1308
Batch [533/858], 손실: 0.1181
Batch [534/858], 손실: 0.0995
Batch [535/858], 손실: 0.1179
Batch [536/858], 손실: 0.1167
Batch [537/858], 손실: 0.1197
Batch [538/858], 손실: 0.1093
Batch [539/858], 손실: 0.1051
Batch [540/858], 손실: 0.1163
Batch [541/858], 손실: 0.1242
Batch [542/858], 손실: 0.1109
Batch [543/858], 손실: 0.1408
Batch [544/858], 손실: 0.1243
Batch [545/858], 손실: 0.1189
Batch [546/858], 손실: 0.1315
Batch [547/858], 손실: 0.1414
Batch [548/858], 손실: 0.1190
Batch [549/858], 손실: 0.1204
Batch [550/858], 손실: 0.1236
Batch [551/858], 손실: 0.1174
Batch [552/858], 손실: 0.1120
Batch [553/858], 손실: 0.1114
Batch [554/858], 손실: 0.1093
Batch [555/858], 손실: 0.1277
Batch [556/858], 손실: 0.0935
Batch [557/858], 손실: 0.1073
Batch [558/858], 손실: 0.1111
Batch [559/858], 손실: 0.1038
Batch [560/858], 손실: 0.1012
Batch [561/858], 손실: 0.1221
Batch [562/858], 손실: 0.1268
Batch [563/858], 손실: 0.1262
Batch [564/858], 손실: 0.1063
Batch [565/858], 손실: 0.1104
Batch [566/858], 손실: 0.1008
Batch [567/858], 손실: 0.0930
Batch [568/858], 손실: 0.1171
Batch [569/858], 손실: 0.1082
Batch [570/858], 손실: 0.1373
Batch [571/858], 손실: 0.1236
Batch [572/858], 손실: 0.1193
Batch [573/858], 손실: 0.1042
Batch [574/858], 손실: 0.1029
Batch [575/858], 손실: 0.1255
Batch [576/858], 손실: 0.1156
Batch [577/858], 손실: 0.1322
Batch [578/858], 손실: 0.1322
Batch [579/858], 손실: 0.1187
Batch [580/858], 손실: 0.1130
Batch [581/858], 손실: 0.1241
Batch [582/858], 손실: 0.1088
Batch [583/858], 손실: 0.1052
Batch [584/858], 손실: 0.1114
Batch [585/858], 손실: 0.1251
Batch [586/858], 손실: 0.1117
Batch [587/858], 손실: 0.1175
Batch [588/858], 손실: 0.1207
Batch [589/858], 손실: 0.1119
Batch [590/858], 손실: 0.1049
Batch [591/858], 손실: 0.1325
Batch [592/858], 손실: 0.1290
Batch [593/858], 손실: 0.1198
Batch [594/858], 손실: 0.1182
Batch [595/858], 손실: 0.1170
Batch [596/858], 손실: 0.1042
Batch [597/858], 손실: 0.1008
Batch [598/858], 손실: 0.1277
Batch [599/858], 손실: 0.1159
Batch [600/858], 손실: 0.1033
Batch [601/858], 손실: 0.1213
Batch [602/858], 손실: 0.1202
Batch [603/858], 손실: 0.1089
Batch [604/858], 손실: 0.1254
Batch [605/858], 손실: 0.1046
Batch [606/858], 손실: 0.1280
Batch [607/858], 손실: 0.1101
Batch [608/858], 손실: 0.0888
Batch [609/858], 손실: 0.1253
Batch [610/858], 손실: 0.1356
Batch [611/858], 손실: 0.0990
Batch [612/858], 손실: 0.0864
Batch [613/858], 손실: 0.1086
Batch [614/858], 손실: 0.1054
Batch [615/858], 손실: 0.1183
Batch [616/858], 손실: 0.1331
Batch [617/858], 손실: 0.0985
Batch [618/858], 손실: 0.0998
Batch [619/858], 손실: 0.1255
Batch [620/858], 손실: 0.1172
Batch [621/858], 손실: 0.1350
Batch [622/858], 손실: 0.1028
Batch [623/858], 손실: 0.1159
Batch [624/858], 손실: 0.0937
Batch [625/858], 손실: 0.1092
Batch [626/858], 손실: 0.0985
Batch [627/858], 손실: 0.0922
Batch [628/858], 손실: 0.1250
Batch [629/858], 손실: 0.1172
Batch [630/858], 손실: 0.1183
Batch [631/858], 손실: 0.1161
Batch [632/858], 손실: 0.1006
